Year,Energia iturri berriztagarria,Units,Lurraldea,Eskualdea,Udalerria,GeoCode,Value
2010,Fotovoltaikoa,Watt per capita,Araba/Álava,,,Araba/Álava,341.01
2011,Fotovoltaikoa,Watt per capita,Araba/Álava,,,Araba/Álava,349.78
2012,Fotovoltaikoa,Watt per capita,Araba/Álava,,,Araba/Álava,357.48
2013,Fotovoltaikoa,Watt per capita,Araba/Álava,,,Araba/Álava,374.71
2014,Fotovoltaikoa,Watt per capita,Araba/Álava,,,Araba/Álava,377.25
2015,Fotovoltaikoa,Watt per capita,Araba/Álava,,,Araba/Álava,376.6
2016,Fotovoltaikoa,Watt per capita,Araba/Álava,,,Araba/Álava,376.31
2017,Fotovoltaikoa,Watt per capita,Araba/Álava,,,Araba/Álava,374.27
2018,Fotovoltaikoa,Watt per capita,Araba/Álava,,,Araba/Álava,386.35
2019,Fotovoltaikoa,Watt per capita,Araba/Álava,,,Araba/Álava,432.45
2010,Fotovoltaikoa,Watt per capita,,,Alegría-Dulantzi,Alegría-Dulantzi,705.48
2011,Fotovoltaikoa,Watt per capita,,,Alegría-Dulantzi,Alegría-Dulantzi,685.07
2012,Fotovoltaikoa,Watt per capita,,,Alegría-Dulantzi,Alegría-Dulantzi,691.1
2013,Fotovoltaikoa,Watt per capita,,,Alegría-Dulantzi,Alegría-Dulantzi,674.84
2014,Fotovoltaikoa,Watt per capita,,,Alegría-Dulantzi,Alegría-Dulantzi,684.39
2015,Fotovoltaikoa,Watt per capita,,,Alegría-Dulantzi,Alegría-Dulantzi,690.87
2016,Fotovoltaikoa,Watt per capita,,,Alegría-Dulantzi,Alegría-Dulantzi,678.61
2017,Fotovoltaikoa,Watt per capita,,,Alegría-Dulantzi,Alegría-Dulantzi,670.24
2018,Fotovoltaikoa,Watt per capita,,,Alegría-Dulantzi,Alegría-Dulantzi,686.5
2019,Fotovoltaikoa,Watt per capita,,,Alegría-Dulantzi,Alegría-Dulantzi,686.62
2020,Fotovoltaikoa,Watt per capita,,,Alegría-Dulantzi,Alegría-Dulantzi,712.22
2021,Fotovoltaikoa,Watt per capita,,,Alegría-Dulantzi,Alegría-Dulantzi,715.64
2022,Fotovoltaikoa,Watt per capita,,,Alegría-Dulantzi,Alegría-Dulantzi,733.88
2010,Fotovoltaikoa,Watt per capita,,,Amurrio,Amurrio,106.28
2011,Fotovoltaikoa,Watt per capita,,,Amurrio,Amurrio,106.33
2012,Fotovoltaikoa,Watt per capita,,,Amurrio,Amurrio,105.59
2013,Fotovoltaikoa,Watt per capita,,,Amurrio,Amurrio,104.77
2014,Fotovoltaikoa,Watt per capita,,,Amurrio,Amurrio,104.78
2015,Fotovoltaikoa,Watt per capita,,,Amurrio,Amurrio,104.47
2016,Fotovoltaikoa,Watt per capita,,,Amurrio,Amurrio,104.35
2017,Fotovoltaikoa,Watt per capita,,,Amurrio,Amurrio,103.9
2018,Fotovoltaikoa,Watt per capita,,,Amurrio,Amurrio,122.66
2019,Fotovoltaikoa,Watt per capita,,,Amurrio,Amurrio,135.43
2020,Fotovoltaikoa,Watt per capita,,,Amurrio,Amurrio,139.81
2021,Fotovoltaikoa,Watt per capita,,,Amurrio,Amurrio,186.39
2022,Fotovoltaikoa,Watt per capita,,,Amurrio,Amurrio,198.38
2010,Fotovoltaikoa,Watt per capita,,,Aramaio,Aramaio,92.29
2011,Fotovoltaikoa,Watt per capita,,,Aramaio,Aramaio,91.09
2012,Fotovoltaikoa,Watt per capita,,,Aramaio,Aramaio,132.94
2013,Fotovoltaikoa,Watt per capita,,,Aramaio,Aramaio,134.07
2014,Fotovoltaikoa,Watt per capita,,,Aramaio,Aramaio,129.03
2015,Fotovoltaikoa,Watt per capita,,,Aramaio,Aramaio,134.34
2016,Fotovoltaikoa,Watt per capita,,,Aramaio,Aramaio,139.66
2017,Fotovoltaikoa,Watt per capita,,,Aramaio,Aramaio,139.38
2018,Fotovoltaikoa,Watt per capita,,,Aramaio,Aramaio,306.77
2019,Fotovoltaikoa,Watt per capita,,,Aramaio,Aramaio,312.16
2020,Fotovoltaikoa,Watt per capita,,,Aramaio,Aramaio,333.11
2021,Fotovoltaikoa,Watt per capita,,,Aramaio,Aramaio,409.0
2022,Fotovoltaikoa,Watt per capita,,,Aramaio,Aramaio,525.29
2010,Fotovoltaikoa,Watt per capita,,,Artziniega,Artziniega,0.0
2011,Fotovoltaikoa,Watt per capita,,,Artziniega,Artziniega,0.0
2012,Fotovoltaikoa,Watt per capita,,,Artziniega,Artziniega,0.0
2013,Fotovoltaikoa,Watt per capita,,,Artziniega,Artziniega,0.0
2014,Fotovoltaikoa,Watt per capita,,,Artziniega,Artziniega,0.0
2015,Fotovoltaikoa,Watt per capita,,,Artziniega,Artziniega,0.0
2016,Fotovoltaikoa,Watt per capita,,,Artziniega,Artziniega,0.0
2017,Fotovoltaikoa,Watt per capita,,,Artziniega,Artziniega,0.0
2018,Fotovoltaikoa,Watt per capita,,,Artziniega,Artziniega,7.28
2019,Fotovoltaikoa,Watt per capita,,,Artziniega,Artziniega,7.33
2020,Fotovoltaikoa,Watt per capita,,,Artziniega,Artziniega,7.52
2021,Fotovoltaikoa,Watt per capita,,,Artziniega,Artziniega,7.51
2022,Fotovoltaikoa,Watt per capita,,,Artziniega,Artziniega,85.9
2010,Fotovoltaikoa,Watt per capita,,,Armiñón,Armiñón,0.0
2011,Fotovoltaikoa,Watt per capita,,,Armiñón,Armiñón,0.0
2012,Fotovoltaikoa,Watt per capita,,,Armiñón,Armiñón,0.0
2013,Fotovoltaikoa,Watt per capita,,,Armiñón,Armiñón,8.7
2014,Fotovoltaikoa,Watt per capita,,,Armiñón,Armiñón,0.0
2015,Fotovoltaikoa,Watt per capita,,,Armiñón,Armiñón,9.01
2016,Fotovoltaikoa,Watt per capita,,,Armiñón,Armiñón,8.89
2017,Fotovoltaikoa,Watt per capita,,,Armiñón,Armiñón,9.35
2018,Fotovoltaikoa,Watt per capita,,,Armiñón,Armiñón,8.97
2019,Fotovoltaikoa,Watt per capita,,,Armiñón,Armiñón,8.97
2020,Fotovoltaikoa,Watt per capita,,,Armiñón,Armiñón,8.93
2021,Fotovoltaikoa,Watt per capita,,,Armiñón,Armiñón,8.77
2022,Fotovoltaikoa,Watt per capita,,,Armiñón,Armiñón,8.89
2010,Fotovoltaikoa,Watt per capita,,,Arratzua-Ubarrundia,Arratzua-Ubarrundia,566.43
2011,Fotovoltaikoa,Watt per capita,,,Arratzua-Ubarrundia,Arratzua-Ubarrundia,541.87
2012,Fotovoltaikoa,Watt per capita,,,Arratzua-Ubarrundia,Arratzua-Ubarrundia,534.18
2013,Fotovoltaikoa,Watt per capita,,,Arratzua-Ubarrundia,Arratzua-Ubarrundia,525.96
2014,Fotovoltaikoa,Watt per capita,,,Arratzua-Ubarrundia,Arratzua-Ubarrundia,573.61
2015,Fotovoltaikoa,Watt per capita,,,Arratzua-Ubarrundia,Arratzua-Ubarrundia,584.39
2016,Fotovoltaikoa,Watt per capita,,,Arratzua-Ubarrundia,Arratzua-Ubarrundia,582.68
2017,Fotovoltaikoa,Watt per capita,,,Arratzua-Ubarrundia,Arratzua-Ubarrundia,579.3
2018,Fotovoltaikoa,Watt per capita,,,Arratzua-Ubarrundia,Arratzua-Ubarrundia,579.86
2019,Fotovoltaikoa,Watt per capita,,,Arratzua-Ubarrundia,Arratzua-Ubarrundia,821.26
2020,Fotovoltaikoa,Watt per capita,,,Arratzua-Ubarrundia,Arratzua-Ubarrundia,842.45
2010,Fotovoltaikoa,Watt per capita,,,Asparrena,Asparrena,212.26
2011,Fotovoltaikoa,Watt per capita,,,Asparrena,Asparrena,211.14
2012,Fotovoltaikoa,Watt per capita,,,Asparrena,Asparrena,212.59
2013,Fotovoltaikoa,Watt per capita,,,Asparrena,Asparrena,215.79
2014,Fotovoltaikoa,Watt per capita,,,Asparrena,Asparrena,217.65
2015,Fotovoltaikoa,Watt per capita,,,Asparrena,Asparrena,218.69
2016,Fotovoltaikoa,Watt per capita,,,Asparrena,Asparrena,239.51
2017,Fotovoltaikoa,Watt per capita,,,Asparrena,Asparrena,237.16
2018,Fotovoltaikoa,Watt per capita,,,Asparrena,Asparrena,241.14
2019,Fotovoltaikoa,Watt per capita,,,Asparrena,Asparrena,240.1
2020,Fotovoltaikoa,Watt per capita,,,Asparrena,Asparrena,872.66
2021,Fotovoltaikoa,Watt per capita,,,Asparrena,Asparrena,941.64
2022,Fotovoltaikoa,Watt per capita,,,Asparrena,Asparrena,958.95
2010,Fotovoltaikoa,Watt per capita,,,Ayala/Aiara,Ayala/Aiara,212.24
2011,Fotovoltaikoa,Watt per capita,,,Ayala/Aiara,Ayala/Aiara,209.35
2012,Fotovoltaikoa,Watt per capita,,,Ayala/Aiara,Ayala/Aiara,208.46
2013,Fotovoltaikoa,Watt per capita,,,Ayala/Aiara,Ayala/Aiara,208.97
2014,Fotovoltaikoa,Watt per capita,,,Ayala/Aiara,Ayala/Aiara,208.7
2015,Fotovoltaikoa,Watt per capita,,,Ayala/Aiara,Ayala/Aiara,208.03
2016,Fotovoltaikoa,Watt per capita,,,Ayala/Aiara,Ayala/Aiara,213.67
2017,Fotovoltaikoa,Watt per capita,,,Ayala/Aiara,Ayala/Aiara,212.71
2018,Fotovoltaikoa,Watt per capita,,,Ayala/Aiara,Ayala/Aiara,218.2
2019,Fotovoltaikoa,Watt per capita,,,Ayala/Aiara,Ayala/Aiara,242.49
2020,Fotovoltaikoa,Watt per capita,,,Ayala/Aiara,Ayala/Aiara,290.08
2021,Fotovoltaikoa,Watt per capita,,,Ayala/Aiara,Ayala/Aiara,595.07
2022,Fotovoltaikoa,Watt per capita,,,Ayala/Aiara,Ayala/Aiara,623.44
2010,Fotovoltaikoa,Watt per capita,,,Baños de Ebro/Mañueta,Baños de Ebro/Mañueta,0.0
2011,Fotovoltaikoa,Watt per capita,,,Baños de Ebro/Mañueta,Baños de Ebro/Mañueta,0.0
2012,Fotovoltaikoa,Watt per capita,,,Baños de Ebro/Mañueta,Baños de Ebro/Mañueta,3.08
2013,Fotovoltaikoa,Watt per capita,,,Baños de Ebro/Mañueta,Baños de Ebro/Mañueta,3.06
2014,Fotovoltaikoa,Watt per capita,,,Baños de Ebro/Mañueta,Baños de Ebro/Mañueta,0.0
2015,Fotovoltaikoa,Watt per capita,,,Baños de Ebro/Mañueta,Baños de Ebro/Mañueta,3.19
2016,Fotovoltaikoa,Watt per capita,,,Baños de Ebro/Mañueta,Baños de Ebro/Mañueta,3.14
2017,Fotovoltaikoa,Watt per capita,,,Baños de Ebro/Mañueta,Baños de Ebro/Mañueta,3.21
2018,Fotovoltaikoa,Watt per capita,,,Baños de Ebro/Mañueta,Baños de Ebro/Mañueta,3.1
2019,Fotovoltaikoa,Watt per capita,,,Baños de Ebro/Mañueta,Baños de Ebro/Mañueta,3.12
2020,Fotovoltaikoa,Watt per capita,,,Baños de Ebro/Mañueta,Baños de Ebro/Mañueta,3.24
2021,Fotovoltaikoa,Watt per capita,,,Baños de Ebro/Mañueta,Baños de Ebro/Mañueta,3.13
2022,Fotovoltaikoa,Watt per capita,,,Baños de Ebro/Mañueta,Baños de Ebro/Mañueta,176.66
2010,Fotovoltaikoa,Watt per capita,,,Barrundia,Barrundia,664.52
2011,Fotovoltaikoa,Watt per capita,,,Barrundia,Barrundia,660.28
2012,Fotovoltaikoa,Watt per capita,,,Barrundia,Barrundia,647.8
2013,Fotovoltaikoa,Watt per capita,,,Barrundia,Barrundia,651.21
2014,Fotovoltaikoa,Watt per capita,,,Barrundia,Barrundia,713.53
2015,Fotovoltaikoa,Watt per capita,,,Barrundia,Barrundia,713.68
2016,Fotovoltaikoa,Watt per capita,,,Barrundia,Barrundia,699.48
2017,Fotovoltaikoa,Watt per capita,,,Barrundia,Barrundia,704.64
2018,Fotovoltaikoa,Watt per capita,,,Barrundia,Barrundia,706.88
2019,Fotovoltaikoa,Watt per capita,,,Barrundia,Barrundia,709.88
2020,Fotovoltaikoa,Watt per capita,,,Barrundia,Barrundia,746.77
2010,Fotovoltaikoa,Watt per capita,,,Berantevilla,Berantevilla,901.64
2011,Fotovoltaikoa,Watt per capita,,,Berantevilla,Berantevilla,922.43
2012,Fotovoltaikoa,Watt per capita,,,Berantevilla,Berantevilla,919.09
2013,Fotovoltaikoa,Watt per capita,,,Berantevilla,Berantevilla,911.52
2014,Fotovoltaikoa,Watt per capita,,,Berantevilla,Berantevilla,922.43
2015,Fotovoltaikoa,Watt per capita,,,Berantevilla,Berantevilla,932.63
2016,Fotovoltaikoa,Watt per capita,,,Berantevilla,Berantevilla,926.78
2017,Fotovoltaikoa,Watt per capita,,,Berantevilla,Berantevilla,913.4
2018,Fotovoltaikoa,Watt per capita,,,Berantevilla,Berantevilla,907.79
2019,Fotovoltaikoa,Watt per capita,,,Berantevilla,Berantevilla,887.78
2020,Fotovoltaikoa,Watt per capita,,,Berantevilla,Berantevilla,924.3
2022,Fotovoltaikoa,Watt per capita,,,Berantevilla,Berantevilla,982.32
2010,Fotovoltaikoa,Watt per capita,,,Bernedo,Bernedo,710.57
2011,Fotovoltaikoa,Watt per capita,,,Bernedo,Bernedo,702.05
2012,Fotovoltaikoa,Watt per capita,,,Bernedo,Bernedo,754.3
2013,Fotovoltaikoa,Watt per capita,,,Bernedo,Bernedo,803.22
2014,Fotovoltaikoa,Watt per capita,,,Bernedo,Bernedo,834.88
2015,Fotovoltaikoa,Watt per capita,,,Bernedo,Bernedo,871.84
2016,Fotovoltaikoa,Watt per capita,,,Bernedo,Bernedo,839.25
2017,Fotovoltaikoa,Watt per capita,,,Bernedo,Bernedo,847.17
2018,Fotovoltaikoa,Watt per capita,,,Bernedo,Bernedo,868.47
2019,Fotovoltaikoa,Watt per capita,,,Bernedo,Bernedo,945.28
2020,Fotovoltaikoa,Watt per capita,,,Bernedo,Bernedo,924.35
2010,Fotovoltaikoa,Watt per capita,,,Campezo/Kanpezu,Campezo/Kanpezu,591.4
2011,Fotovoltaikoa,Watt per capita,,,Campezo/Kanpezu,Campezo/Kanpezu,620.57
2012,Fotovoltaikoa,Watt per capita,,,Campezo/Kanpezu,Campezo/Kanpezu,618.79
2013,Fotovoltaikoa,Watt per capita,,,Campezo/Kanpezu,Campezo/Kanpezu,646.9
2014,Fotovoltaikoa,Watt per capita,,,Campezo/Kanpezu,Campezo/Kanpezu,658.51
2015,Fotovoltaikoa,Watt per capita,,,Campezo/Kanpezu,Campezo/Kanpezu,663.5
2016,Fotovoltaikoa,Watt per capita,,,Campezo/Kanpezu,Campezo/Kanpezu,662.87
2017,Fotovoltaikoa,Watt per capita,,,Campezo/Kanpezu,Campezo/Kanpezu,652.34
2010,Fotovoltaikoa,Watt per capita,,,Zigoitia,Zigoitia,246.42
2011,Fotovoltaikoa,Watt per capita,,,Zigoitia,Zigoitia,243.63
2012,Fotovoltaikoa,Watt per capita,,,Zigoitia,Zigoitia,245.09
2013,Fotovoltaikoa,Watt per capita,,,Zigoitia,Zigoitia,247.45
2014,Fotovoltaikoa,Watt per capita,,,Zigoitia,Zigoitia,324.75
2015,Fotovoltaikoa,Watt per capita,,,Zigoitia,Zigoitia,329.74
2016,Fotovoltaikoa,Watt per capita,,,Zigoitia,Zigoitia,341.82
2017,Fotovoltaikoa,Watt per capita,,,Zigoitia,Zigoitia,343.8
2018,Fotovoltaikoa,Watt per capita,,,Zigoitia,Zigoitia,440.42
2019,Fotovoltaikoa,Watt per capita,,,Zigoitia,Zigoitia,503.81
2020,Fotovoltaikoa,Watt per capita,,,Zigoitia,Zigoitia,712.1
2010,Fotovoltaikoa,Watt per capita,,Arabako Lautada / Llanada Alavesa,,Arabako Lautada / Llanada Alavesa,230.57
2011,Fotovoltaikoa,Watt per capita,,Arabako Lautada / Llanada Alavesa,,Arabako Lautada / Llanada Alavesa,237.24
2012,Fotovoltaikoa,Watt per capita,,Arabako Lautada / Llanada Alavesa,,Arabako Lautada / Llanada Alavesa,242.34
2013,Fotovoltaikoa,Watt per capita,,Arabako Lautada / Llanada Alavesa,,Arabako Lautada / Llanada Alavesa,258.85
2014,Fotovoltaikoa,Watt per capita,,Arabako Lautada / Llanada Alavesa,,Arabako Lautada / Llanada Alavesa,261.86
2015,Fotovoltaikoa,Watt per capita,,Arabako Lautada / Llanada Alavesa,,Arabako Lautada / Llanada Alavesa,261.02
2016,Fotovoltaikoa,Watt per capita,,Arabako Lautada / Llanada Alavesa,,Arabako Lautada / Llanada Alavesa,260.9
2017,Fotovoltaikoa,Watt per capita,,Arabako Lautada / Llanada Alavesa,,Arabako Lautada / Llanada Alavesa,259.44
2018,Fotovoltaikoa,Watt per capita,,Arabako Lautada / Llanada Alavesa,,Arabako Lautada / Llanada Alavesa,265.9
2019,Fotovoltaikoa,Watt per capita,,Arabako Lautada / Llanada Alavesa,,Arabako Lautada / Llanada Alavesa,312.75
2020,Fotovoltaikoa,Watt per capita,,Arabako Lautada / Llanada Alavesa,,Arabako Lautada / Llanada Alavesa,376.24
2021,Fotovoltaikoa,Watt per capita,,Arabako Lautada / Llanada Alavesa,,Arabako Lautada / Llanada Alavesa,473.42
2022,Fotovoltaikoa,Watt per capita,,Arabako Lautada / Llanada Alavesa,,Arabako Lautada / Llanada Alavesa,495.91
2010,Fotovoltaikoa,Watt per capita,,,Kuartango,Kuartango,208.33
2011,Fotovoltaikoa,Watt per capita,,,Kuartango,Kuartango,204.08
2012,Fotovoltaikoa,Watt per capita,,,Kuartango,Kuartango,201.17
2013,Fotovoltaikoa,Watt per capita,,,Kuartango,Kuartango,200.58
2014,Fotovoltaikoa,Watt per capita,,,Kuartango,Kuartango,200.57
2015,Fotovoltaikoa,Watt per capita,,,Kuartango,Kuartango,193.82
2016,Fotovoltaikoa,Watt per capita,,,Kuartango,Kuartango,190.61
2017,Fotovoltaikoa,Watt per capita,,,Kuartango,Kuartango,188.52
2018,Fotovoltaikoa,Watt per capita,,,Kuartango,Kuartango,192.2
2019,Fotovoltaikoa,Watt per capita,,,Kuartango,Kuartango,303.76
2020,Fotovoltaikoa,Watt per capita,,,Kuartango,Kuartango,286.8
2021,Fotovoltaikoa,Watt per capita,,,Kuartango,Kuartango,333.33
2022,Fotovoltaikoa,Watt per capita,,,Kuartango,Kuartango,510.42
2010,Fotovoltaikoa,Watt per capita,,,Elburgo/Burgelu,Elburgo/Burgelu,31.15
2011,Fotovoltaikoa,Watt per capita,,,Elburgo/Burgelu,Elburgo/Burgelu,30.82
2012,Fotovoltaikoa,Watt per capita,,,Elburgo/Burgelu,Elburgo/Burgelu,23.26
2013,Fotovoltaikoa,Watt per capita,,,Elburgo/Burgelu,Elburgo/Burgelu,40.31
2014,Fotovoltaikoa,Watt per capita,,,Elburgo/Burgelu,Elburgo/Burgelu,47.47
2015,Fotovoltaikoa,Watt per capita,,,Elburgo/Burgelu,Elburgo/Burgelu,40.82
2016,Fotovoltaikoa,Watt per capita,,,Elburgo/Burgelu,Elburgo/Burgelu,40.63
2017,Fotovoltaikoa,Watt per capita,,,Elburgo/Burgelu,Elburgo/Burgelu,41.2
2018,Fotovoltaikoa,Watt per capita,,,Elburgo/Burgelu,Elburgo/Burgelu,304.63
2019,Fotovoltaikoa,Watt per capita,,,Elburgo/Burgelu,Elburgo/Burgelu,361.07
2020,Fotovoltaikoa,Watt per capita,,,Elburgo/Burgelu,Elburgo/Burgelu,428.13
2021,Fotovoltaikoa,Watt per capita,,,Elburgo/Burgelu,Elburgo/Burgelu,532.31
2022,Fotovoltaikoa,Watt per capita,,,Elburgo/Burgelu,Elburgo/Burgelu,525.84
2010,Fotovoltaikoa,Watt per capita,,,Elciego,Elciego,186.39
2011,Fotovoltaikoa,Watt per capita,,,Elciego,Elciego,187.09
2012,Fotovoltaikoa,Watt per capita,,,Elciego,Elciego,184.98
2013,Fotovoltaikoa,Watt per capita,,,Elciego,Elciego,182.07
2014,Fotovoltaikoa,Watt per capita,,,Elciego,Elciego,181.82
2015,Fotovoltaikoa,Watt per capita,,,Elciego,Elciego,191.26
2016,Fotovoltaikoa,Watt per capita,,,Elciego,Elciego,186.73
2017,Fotovoltaikoa,Watt per capita,,,Elciego,Elciego,186.02
2018,Fotovoltaikoa,Watt per capita,,,Elciego,Elciego,189.79
2019,Fotovoltaikoa,Watt per capita,,,Elciego,Elciego,190.34
2010,Fotovoltaikoa,Watt per capita,,,Elvillar/Bilar,Elvillar/Bilar,0.0
2011,Fotovoltaikoa,Watt per capita,,,Elvillar/Bilar,Elvillar/Bilar,0.0
2012,Fotovoltaikoa,Watt per capita,,,Elvillar/Bilar,Elvillar/Bilar,673.41
2010,Fotovoltaikoa,Watt per capita,,,Iruraiz-Gauna,Iruraiz-Gauna,105.82
2011,Fotovoltaikoa,Watt per capita,,,Iruraiz-Gauna,Iruraiz-Gauna,436.3
2012,Fotovoltaikoa,Watt per capita,,,Iruraiz-Gauna,Iruraiz-Gauna,457.19
2013,Fotovoltaikoa,Watt per capita,,,Iruraiz-Gauna,Iruraiz-Gauna,463.96
2014,Fotovoltaikoa,Watt per capita,,,Iruraiz-Gauna,Iruraiz-Gauna,463.82
2015,Fotovoltaikoa,Watt per capita,,,Iruraiz-Gauna,Iruraiz-Gauna,461.4
2016,Fotovoltaikoa,Watt per capita,,,Iruraiz-Gauna,Iruraiz-Gauna,493.51
2017,Fotovoltaikoa,Watt per capita,,,Iruraiz-Gauna,Iruraiz-Gauna,499.06
2018,Fotovoltaikoa,Watt per capita,,,Iruraiz-Gauna,Iruraiz-Gauna,500.94
2019,Fotovoltaikoa,Watt per capita,,,Iruraiz-Gauna,Iruraiz-Gauna,761.9
2020,Fotovoltaikoa,Watt per capita,,,Iruraiz-Gauna,Iruraiz-Gauna,737.59
2021,Fotovoltaikoa,Watt per capita,,,Iruraiz-Gauna,Iruraiz-Gauna,877.84
2022,Fotovoltaikoa,Watt per capita,,,Iruraiz-Gauna,Iruraiz-Gauna,867.24
2010,Fotovoltaikoa,Watt per capita,,,Labastida/Bastida,Labastida/Bastida,13.46
2011,Fotovoltaikoa,Watt per capita,,,Labastida/Bastida,Labastida/Bastida,13.1
2012,Fotovoltaikoa,Watt per capita,,,Labastida/Bastida,Labastida/Bastida,11.33
2013,Fotovoltaikoa,Watt per capita,,,Labastida/Bastida,Labastida/Bastida,635.77
2014,Fotovoltaikoa,Watt per capita,,,Labastida/Bastida,Labastida/Bastida,646.67
2015,Fotovoltaikoa,Watt per capita,,,Labastida/Bastida,Labastida/Bastida,647.69
2016,Fotovoltaikoa,Watt per capita,,,Labastida/Bastida,Labastida/Bastida,651.62
2017,Fotovoltaikoa,Watt per capita,,,Labastida/Bastida,Labastida/Bastida,649.43
2018,Fotovoltaikoa,Watt per capita,,,Labastida/Bastida,Labastida/Bastida,704.42
2019,Fotovoltaikoa,Watt per capita,,,Labastida/Bastida,Labastida/Bastida,685.46
2020,Fotovoltaikoa,Watt per capita,,,Labastida/Bastida,Labastida/Bastida,669.59
2010,Fotovoltaikoa,Watt per capita,,,Lagrán,Lagrán,0.0
2011,Fotovoltaikoa,Watt per capita,,,Lagrán,Lagrán,0.0
2012,Fotovoltaikoa,Watt per capita,,,Lagrán,Lagrán,0.0
2013,Fotovoltaikoa,Watt per capita,,,Lagrán,Lagrán,0.0
2014,Fotovoltaikoa,Watt per capita,,,Lagrán,Lagrán,0.0
2015,Fotovoltaikoa,Watt per capita,,,Lagrán,Lagrán,0.0
2016,Fotovoltaikoa,Watt per capita,,,Lagrán,Lagrán,0.0
2017,Fotovoltaikoa,Watt per capita,,,Lagrán,Lagrán,0.0
2018,Fotovoltaikoa,Watt per capita,,,Lagrán,Lagrán,0.0
2019,Fotovoltaikoa,Watt per capita,,,Lagrán,Lagrán,0.0
2020,Fotovoltaikoa,Watt per capita,,,Lagrán,Lagrán,0.0
2021,Fotovoltaikoa,Watt per capita,,,Lagrán,Lagrán,0.0
2022,Fotovoltaikoa,Watt per capita,,,Lagrán,Lagrán,0.0
2010,Fotovoltaikoa,Watt per capita,,,Leza,Leza,0.0
2011,Fotovoltaikoa,Watt per capita,,,Leza,Leza,0.0
2012,Fotovoltaikoa,Watt per capita,,,Leza,Leza,9.17
2013,Fotovoltaikoa,Watt per capita,,,Leza,Leza,9.39
2014,Fotovoltaikoa,Watt per capita,,,Leza,Leza,0.0
2015,Fotovoltaikoa,Watt per capita,,,Leza,Leza,9.26
2016,Fotovoltaikoa,Watt per capita,,,Leza,Leza,9.01
2017,Fotovoltaikoa,Watt per capita,,,Leza,Leza,9.48
2018,Fotovoltaikoa,Watt per capita,,,Leza,Leza,9.22
2019,Fotovoltaikoa,Watt per capita,,,Leza,Leza,8.85
2020,Fotovoltaikoa,Watt per capita,,,Leza,Leza,9.22
2021,Fotovoltaikoa,Watt per capita,,,Leza,Leza,9.26
2022,Fotovoltaikoa,Watt per capita,,,Leza,Leza,9.05
2010,Fotovoltaikoa,Watt per capita,,,Laudio/Llodio,Laudio/Llodio,50.68
2011,Fotovoltaikoa,Watt per capita,,,Laudio/Llodio,Laudio/Llodio,50.62
2012,Fotovoltaikoa,Watt per capita,,,Laudio/Llodio,Laudio/Llodio,50.45
2013,Fotovoltaikoa,Watt per capita,,,Laudio/Llodio,Laudio/Llodio,50.62
2014,Fotovoltaikoa,Watt per capita,,,Laudio/Llodio,Laudio/Llodio,51.08
2015,Fotovoltaikoa,Watt per capita,,,Laudio/Llodio,Laudio/Llodio,51.25
2016,Fotovoltaikoa,Watt per capita,,,Laudio/Llodio,Laudio/Llodio,50.98
2017,Fotovoltaikoa,Watt per capita,,,Laudio/Llodio,Laudio/Llodio,51.72
2018,Fotovoltaikoa,Watt per capita,,,Laudio/Llodio,Laudio/Llodio,52.0
2019,Fotovoltaikoa,Watt per capita,,,Laudio/Llodio,Laudio/Llodio,51.99
2020,Fotovoltaikoa,Watt per capita,,,Laudio/Llodio,Laudio/Llodio,57.21
2021,Fotovoltaikoa,Watt per capita,,,Laudio/Llodio,Laudio/Llodio,69.9
2022,Fotovoltaikoa,Watt per capita,,,Laudio/Llodio,Laudio/Llodio,69.88
2010,Fotovoltaikoa,Watt per capita,,,Arraia-Maeztu,Arraia-Maeztu,165.98
2011,Fotovoltaikoa,Watt per capita,,,Arraia-Maeztu,Arraia-Maeztu,162.82
2012,Fotovoltaikoa,Watt per capita,,,Arraia-Maeztu,Arraia-Maeztu,253.08
2013,Fotovoltaikoa,Watt per capita,,,Arraia-Maeztu,Arraia-Maeztu,260.56
2014,Fotovoltaikoa,Watt per capita,,,Arraia-Maeztu,Arraia-Maeztu,254.6
2015,Fotovoltaikoa,Watt per capita,,,Arraia-Maeztu,Arraia-Maeztu,257.66
2016,Fotovoltaikoa,Watt per capita,,,Arraia-Maeztu,Arraia-Maeztu,334.72
2017,Fotovoltaikoa,Watt per capita,,,Arraia-Maeztu,Arraia-Maeztu,337.06
2018,Fotovoltaikoa,Watt per capita,,,Arraia-Maeztu,Arraia-Maeztu,433.06
2010,Fotovoltaikoa,Watt per capita,,,Moreda de Álava/Moreda Araba,Moreda de Álava/Moreda Araba,0.0
2011,Fotovoltaikoa,Watt per capita,,,Moreda de Álava/Moreda Araba,Moreda de Álava/Moreda Araba,0.0
2012,Fotovoltaikoa,Watt per capita,,,Moreda de Álava/Moreda Araba,Moreda de Álava/Moreda Araba,3.65
2013,Fotovoltaikoa,Watt per capita,,,Moreda de Álava/Moreda Araba,Moreda de Álava/Moreda Araba,3.69
2014,Fotovoltaikoa,Watt per capita,,,Moreda de Álava/Moreda Araba,Moreda de Álava/Moreda Araba,0.0
2015,Fotovoltaikoa,Watt per capita,,,Moreda de Álava/Moreda Araba,Moreda de Álava/Moreda Araba,3.82
2016,Fotovoltaikoa,Watt per capita,,,Moreda de Álava/Moreda Araba,Moreda de Álava/Moreda Araba,3.61
