Year,Fuente de energía renovable,Units,Territorio,Comarca,Municipio,GeoCode,Value
2013,Todas las fuentes de energía renovable,Watts per cápita,,,Elburgo/Burgelu,Elburgo/Burgelu,355.04
2014,Todas las fuentes de energía renovable,Watts per cápita,,,Elburgo/Burgelu,Elburgo/Burgelu,366.46
2015,Todas las fuentes de energía renovable,Watts per cápita,,,Elburgo/Burgelu,Elburgo/Burgelu,357.3
2016,Todas las fuentes de energía renovable,Watts per cápita,,,Elburgo/Burgelu,Elburgo/Burgelu,357.82
2017,Todas las fuentes de energía renovable,Watts per cápita,,,Elburgo/Burgelu,Elburgo/Burgelu,529.32
2018,Todas las fuentes de energía renovable,Watts per cápita,,,Elburgo/Burgelu,Elburgo/Burgelu,843.71
2019,Todas las fuentes de energía renovable,Watts per cápita,,,Elburgo/Burgelu,Elburgo/Burgelu,891.69
2020,Todas las fuentes de energía renovable,Watts per cápita,,,Elburgo/Burgelu,Elburgo/Burgelu,944.95
2010,Todas las fuentes de energía renovable,Watts per cápita,,,Elvillar/Bilar,Elvillar/Bilar,0.0
2011,Todas las fuentes de energía renovable,Watts per cápita,,,Elvillar/Bilar,Elvillar/Bilar,0.0
2012,Todas las fuentes de energía renovable,Watts per cápita,,,Elvillar/Bilar,Elvillar/Bilar,673.41
2010,Todas las fuentes de energía renovable,Watts per cápita,,,Iruraiz-Gauna,Iruraiz-Gauna,105.82
2011,Todas las fuentes de energía renovable,Watts per cápita,,,Iruraiz-Gauna,Iruraiz-Gauna,436.3
2012,Todas las fuentes de energía renovable,Watts per cápita,,,Iruraiz-Gauna,Iruraiz-Gauna,457.19
2013,Todas las fuentes de energía renovable,Watts per cápita,,,Iruraiz-Gauna,Iruraiz-Gauna,463.96
2014,Todas las fuentes de energía renovable,Watts per cápita,,,Iruraiz-Gauna,Iruraiz-Gauna,592.39
2015,Todas las fuentes de energía renovable,Watts per cápita,,,Iruraiz-Gauna,Iruraiz-Gauna,588.79
2016,Todas las fuentes de energía renovable,Watts per cápita,,,Iruraiz-Gauna,Iruraiz-Gauna,688.31
2017,Todas las fuentes de energía renovable,Watts per cápita,,,Iruraiz-Gauna,Iruraiz-Gauna,696.06
2018,Todas las fuentes de energía renovable,Watts per cápita,,,Iruraiz-Gauna,Iruraiz-Gauna,698.68
2019,Todas las fuentes de energía renovable,Watts per cápita,,,Iruraiz-Gauna,Iruraiz-Gauna,954.21
2020,Todas las fuentes de energía renovable,Watts per cápita,,,Iruraiz-Gauna,Iruraiz-Gauna,923.76
2010,Todas las fuentes de energía renovable,Watts per cápita,,,Lagrán,Lagrán,0.0
2011,Todas las fuentes de energía renovable,Watts per cápita,,,Lagrán,Lagrán,0.0
2012,Todas las fuentes de energía renovable,Watts per cápita,,,Lagrán,Lagrán,0.0
