Year,Fuente de energía renovable,Units,Territorio,Comarca,Municipio,GeoCode,Value
2010,Fotovoltaica,Watts per cápita,Araba/Álava,,,Araba/Álava,341.01
2011,Fotovoltaica,Watts per cápita,Araba/Álava,,,Araba/Álava,349.78
2012,Fotovoltaica,Watts per cápita,Araba/Álava,,,Araba/Álava,357.48
2013,Fotovoltaica,Watts per cápita,Araba/Álava,,,Araba/Álava,374.71
2014,Fotovoltaica,Watts per cápita,Araba/Álava,,,Araba/Álava,377.25
2015,Fotovoltaica,Watts per cápita,Araba/Álava,,,Araba/Álava,376.6
2016,Fotovoltaica,Watts per cápita,Araba/Álava,,,Araba/Álava,376.31
2017,Fotovoltaica,Watts per cápita,Araba/Álava,,,Araba/Álava,374.27
2018,Fotovoltaica,Watts per cápita,Araba/Álava,,,Araba/Álava,386.35
2019,Fotovoltaica,Watts per cápita,Araba/Álava,,,Araba/Álava,432.45
2010,Fotovoltaica,Watts per cápita,,,Alegría-Dulantzi,Alegría-Dulantzi,705.48
2011,Fotovoltaica,Watts per cápita,,,Alegría-Dulantzi,Alegría-Dulantzi,685.07
2012,Fotovoltaica,Watts per cápita,,,Alegría-Dulantzi,Alegría-Dulantzi,691.1
2013,Fotovoltaica,Watts per cápita,,,Alegría-Dulantzi,Alegría-Dulantzi,674.84
2014,Fotovoltaica,Watts per cápita,,,Alegría-Dulantzi,Alegría-Dulantzi,684.39
2015,Fotovoltaica,Watts per cápita,,,Alegría-Dulantzi,Alegría-Dulantzi,690.87
2016,Fotovoltaica,Watts per cápita,,,Alegría-Dulantzi,Alegría-Dulantzi,678.61
2017,Fotovoltaica,Watts per cápita,,,Alegría-Dulantzi,Alegría-Dulantzi,670.24
2018,Fotovoltaica,Watts per cápita,,,Alegría-Dulantzi,Alegría-Dulantzi,686.5
2019,Fotovoltaica,Watts per cápita,,,Alegría-Dulantzi,Alegría-Dulantzi,686.62
2020,Fotovoltaica,Watts per cápita,,,Alegría-Dulantzi,Alegría-Dulantzi,712.22
2021,Fotovoltaica,Watts per cápita,,,Alegría-Dulantzi,Alegría-Dulantzi,715.64
2022,Fotovoltaica,Watts per cápita,,,Alegría-Dulantzi,Alegría-Dulantzi,733.88
2010,Fotovoltaica,Watts per cápita,,,Amurrio,Amurrio,106.28
2011,Fotovoltaica,Watts per cápita,,,Amurrio,Amurrio,106.33
2012,Fotovoltaica,Watts per cápita,,,Amurrio,Amurrio,105.59
